id,name,pack,band,signature_features,pose,backdrop,palette,status,qc_note
bsb-fm-1,Jose Pocket MVP,Farm,All-Star,"tan Venezuelan skin tone, very short stature, big grin, neat beard",mighty compact swing,ballpark crowd,amber/slate,generated,
bsb-fm-2,Carlos the Captain,Farm,All-Star,"tan Puerto Rican skin tone, short hair, trimmed beard, leader's stare",smooth righty swing,night ballpark,navy/white,generated,
bsb-fm-3,Frankie Smile,Farm,All-Star,"tan Puerto Rican skin tone, infectious huge smile, short dreads, flashy glove",smile-and-rip swing,sunset ballpark,royal/white,generated,
bsb-fm-4,Corey Clutch,Farm,All-Star,"fair skin tone, tall lean build, calm even-keel face, short hair",smooth lefty swing,playoff ballpark lights,sky/grey,generated,
bsb-as-1,Nolan Express,All-Star,All-Star,"fair skin tone, 70s wavy hair, intense rancher glare, power legs",high-kick fastball delivery,sepia ballpark,red/white,generated,
bsb-as-2,Big Randy,All-Star,All-Star,"fair skin tone, very tall, mullet and mustache, intimidating stare",towering lefty slider release,night ballpark,violet/grey,generated,
bsb-as-3,Greg Maddog,All-Star,All-Star,"fair skin tone, receding hairline, professor calm, ordinary-build genius",pinpoint sinker release,ballpark crowd,navy/white,generated,
bsb-as-4,Sho-Time,All-Star,All-Star,"Japanese features, tall athletic two-way build, bright superstar smile",mighty lefty home-run swing,sunset ballpark,white/sky,generated,
bsb-ac-1,Justin Vintage,Ace,Champion,"fair skin tone, short hair, fierce veteran glare, ageless power arm",high-heat fastball release,night ballpark,slate/white,generated,
bsb-ac-2,Clayton the Lefty,Ace,Champion,"fair skin tone, tall lefty frame, beard, curveball focus",big curveball windup,sunset ballpark,royal/white,generated,
bsb-ac-3,Max Two-Eyes,Ace,Champion,"fair skin tone, two different colored eyes, mad intense glare, scruffy stubble",max-effort fastball grunt,packed playoff crowd,navy/white,generated,
bsb-ac-4,Jacob DeAce,Ace,Champion,"fair skin tone, long flowing hair, calm technician face",effortless triple-digit delivery,ballpark crowd,ice/grey,generated,
bsb-sl-1,Aaron the Judge,Slugger,Icon,"fair skin tone, giant towering frame, clean-cut face, huge presence",towering home-run swing,night ballpark lights,navy/white,generated,
bsb-sl-2,Mike the Millville,Slugger,Icon,"fair skin tone, stocky strong build, friendly everyman smile, short hair",all-fields power swing,sunny ballpark,white/steel,generated,
bsb-sl-3,Mookie Buckets,Slugger,Icon,"brown skin tone, short dreads, bright smile, compact five-tool build",quick-twitch line-drive swing,sunset ballpark,royal/white,generated,
bsb-sl-4,Bryce the Showman,Slugger,Icon,"fair skin tone, styled hair, full beard, showman intensity",emphatic bat-drop homer swing,roaring ballpark,crimson/cream,generated,
bsb-lg-1,Albert the Machine,Legend,Legend,"brown skin tone, Dominican features, bald, stoic focused face, thick power build",textbook power stance,sunset ballpark,crimson/white,generated,
bsb-lg-2,Miguel Triple Crown,Legend,Legend,"tan Venezuelan skin tone, round friendly face, big smile, sturdy build",easy opposite-field swing,sunny ballpark,navy/cream,generated,
bsb-lg-3,Big Papi,Legend,Legend,"deep brown skin tone, Dominican features, big bear build, huge warm smile, beard",walk-off point-to-sky swing,roaring night ballpark,charcoal/gold,generated,
bsb-lg-4,Chip Hotcorner,Legend,Legend,"fair skin tone, sandy hair, easy southern grin, switch-hitter shoulders",switch-hit swing,evening ballpark,forest/white,generated,7e temper: pinned southern grin relaxed to confident non-smile; pack smile budget held by lg-2/lg-3
bsb-co-1,The Bambino,Cooperstown,Immortal,"fair skin tone, round jolly face, flat cap, big barrel build",called-shot point-and-swing,1920s sepia ballpark,cream/brown,generated,
bsb-co-2,Hank Hammer,Cooperstown,Immortal,"deep brown skin tone, short hair, quiet dignified strength, powerful wrists",smooth record-breaking swing,sepia ballpark,navy/cream,generated,
bsb-co-3,Willie Say-Hey,Cooperstown,Immortal,"brown skin tone, bright joyful smile, cap-flying energy, basket-catch flair",joyful power swing,vintage ballpark,charcoal/cream,generated,
bsb-co-4,Teddy Ballgame,Cooperstown,Immortal,"fair skin tone, tall lean build, square jaw, hitter's glare",picture-perfect lefty swing,1940s sepia ballpark,crimson/cream,generated,
bsb-et-1,Cy the Legend,Eternal,Eternal,"fair skin tone, handlebar mustache, sturdy workhorse build, 1900s cap",old-time underhand windup,deadball-era grounds,sepia/cream,generated,
bsb-et-2,Honus the Flying Dutchman,Eternal,Eternal,"fair skin tone, bow-legged sturdy build, 1900s short hair, gentle giant face",vintage chop swing,1900s ball grounds,cream/brown,generated,
bsb-et-3,Ty the Georgia Peach,Eternal,Eternal,"fair skin tone, fierce competitive scowl, wiry aggressive build, old-time cap",aggressive choke-up slash,sepia deadball park,white/charcoal,generated,
bsb-et-4,Stan the Man,Eternal,Eternal,"fair skin tone, kind smile, corkscrew stance, lean build",corkscrew-stance swing,sepia ballpark,crimson/cream,generated,
