id,name,tier,income_band,signature_features,pose,backdrop,palette,framing,tier_fx,status,qc_note
scg-in-3,Cole Cold,International,2500-9000,"fair skin tone, short dark-blond hair, ice-cold blank stare, lean forward build",arms-crossed shivering cold celebration,stadium night frost,ice-blue/charcoal,three-quarter,crimson rim-light; one signature VFX (energy trail or sparks) on culture-moment cards only,pending,culture moment: Cold Palmer celebration
scg-in-4,Martin Skipper,International,2500-9000,"fair Norwegian skin tone, slick dark hair, composed captain face, elegant midfield build",threaded through-ball,stadium evening,maroon/white,low-angle hero,crimson rim-light; one signature VFX (energy trail or sparks) on culture-moment cards only,pending,
scg-in-5,Jamal Bambi,International,2500-9000,"mixed-heritage skin tone, short dark curls, joyful bambi grin, wiry dribbler build",bambi-leg slalom dribble,stadium day,crimson/silver,low-angle hero,crimson rim-light; one signature VFX (energy trail or sparks) on culture-moment cards only,pending,
scg-in-6,Flo Wizard,International,2500-9000,"fair German skin tone, floppy dark-blond hair, wizard smirk, silky attacking-mid build",no-look reverse pass,stadium lights,black/gold,off-center dynamic,crimson rim-light; one signature VFX (energy trail or sparks) on culture-moment cards only,pending,
scg-in-7,Lamine Goldenboy,International,2500-9000,"brown skin tone, short dark hair with bleached streak, fearless teen grin, explosive young winger build",golden-boy cut-inside curler,stadium fireworks,gold/crimson,three-quarter,crimson rim-light; one signature VFX (energy trail or sparks) on culture-moment cards only,pending,
scg-in-8,Pedri Silk,International,2500-9000,"light-brown skin tone, short dark hair, serene playmaker face, slight elegant build",first-touch glide past marker,stadium afternoon,ivory/royal,low-angle hero,crimson rim-light; one signature VFX (energy trail or sparks) on culture-moment cards only,pending,
scg-in-9,Fede Motor,International,2500-9000,"tan Uruguayan skin tone, short dark hair + headband, relentless warrior face, engine midfield build",thunderbolt long-shot,stadium storm,white/steel,low-angle hero,crimson rim-light; one signature VFX (energy trail or sparks) on culture-moment cards only,pending,
scg-in-10,Ryan Glide,International,2500-9000,"dark skin tone, short dreads, smooth calm face, tall gliding midfield build",gliding carry through midfield,stadium night,maroon/charcoal,off-center dynamic,crimson rim-light; one signature VFX (energy trail or sparks) on culture-moment cards only,pending,
scg-in-11,Mac All-Rounder,International,2500-9000,"fair Argentine skin tone, dark hair + beard, all-action grin, stocky midfield build",sliding all-round pass,stadium day,white/gold,three-quarter,crimson rim-light; one signature VFX (energy trail or sparks) on culture-moment cards only,pending,
scg-in-12,Kvara Kvaradona,International,2500-9000,"fair Georgian skin tone, dark wavy hair, joyful trickster grin, strong winger build",kvaradona slalom dribble,stadium fireworks,teal/white,low-angle hero,crimson rim-light; one signature VFX (energy trail or sparks) on culture-moment cards only,pending,
scg-ft-1,Dec Hammer,First Team,400+,"fair skin tone, short dark hair, powerhouse stare, athletic destroyer build",late box-crashing header,stadium night,charcoal/crimson,three-quarter,amber rim-light; camera-flash atmosphere in backdrop,pending,
scg-ft-2,Bruno Playmaker,First Team,400+,"light-brown Portuguese skin tone, dark hair + beard, intense leader face, wiry attacking-mid build",risky line-breaking pass,stadium afternoon,crimson/steel,low-angle hero,amber rim-light; camera-flash atmosphere in backdrop,pending,
scg-ft-3,Bernardo Conductor,First Team,400+,"light-brown Portuguese skin tone, short dark hair, busy smile, small tireless build",orchestrating pocket pass,stadium evening,white/violet,three-quarter,amber rim-light; camera-flash atmosphere in backdrop,pending,
scg-ft-4,Rodrygo Clutch,First Team,400+,"brown Brazilian skin tone, short dark hair, ice-veins clutch face, lean forward build",last-minute winner finish,stadium night drama,white/gold,off-center dynamic,amber rim-light; camera-flash atmosphere in backdrop,pending,
scg-ft-5,Raphinha Warrior,First Team,400+,"light-brown Brazilian skin tone, short black hair + headband, warrior scowl, explosive winger build",touchline-to-box sprint finish,stadium lights,crimson/royal,three-quarter,amber rim-light; camera-flash atmosphere in backdrop,pending,
scg-ft-6,Lautaro Toro,First Team,400+,"tan Argentine skin tone, short dark hair, bull-flare scowl, stocky striker build",bull-charge near-post finish,stadium night,charcoal/gold,low-angle hero,amber rim-light; camera-flash atmosphere in backdrop,pending,
scg-ft-7,Marcus Tikus,First Team,400+,"dark skin tone, short dreads, cool assassin smirk, tall athletic forward build",channel-run curled finish,stadium evening,slate/white,three-quarter,amber rim-light; camera-flash atmosphere in backdrop,pending,
scg-ft-8,Masked Victor,First Team,400+,"dark skin tone, protective face mask, hungry striker eyes, powerful forward build",masked towering header,stadium night,black/teal,off-center dynamic,amber rim-light; camera-flash atmosphere in backdrop,pending,
scg-ft-9,Edu Elastic,First Team,400+,"dark skin tone, short hair + headband, elastic grin, rubber-band midfield build",elastic-leg interception,stadium afternoon,white/maroon,three-quarter,amber rim-light; camera-flash atmosphere in backdrop,pending,
scg-ft-10,Rafa Flash,First Team,400+,"dark skin tone, short twists, permanent sunny smile, lightning winger build",flash stepover burst,stadium day,black/crimson,low-angle hero,amber rim-light; camera-flash atmosphere in backdrop,pending,
scg-ft-11,William Rolls,First Team,400+,"dark skin tone, short cropped hair, rolls-royce smooth face, elegant center-back build",silky recovery tackle,stadium night,white/charcoal,three-quarter,amber rim-light; camera-flash atmosphere in backdrop,pending,
scg-ft-12,Achraf Express,First Team,400+,"brown Moroccan skin tone, short dark hair, speedster grin, lean flying-back build",express wing overlap,stadium afternoon,steel/teal,off-center dynamic,amber rim-light; camera-flash atmosphere in backdrop,pending,
scg-ft-13,Micky Turbo,First Team,400+,"dark skin tone, short cropped hair, turbo focus face, turbo-charged center-back build",recovery sprint tackle,stadium lights,white/navy,three-quarter,amber rim-light; camera-flash atmosphere in backdrop,pending,
scg-ft-14,Pau Veteran,First Team,400+,"fair Catalan skin tone, short brown hair, old-head-young-shoulders calm face, tall ball-playing defender build",composed line-splitting pass,stadium evening,ivory/maroon,low-angle hero,amber rim-light; camera-flash atmosphere in backdrop,pending,
scg-ft-15,Trent Vision,First Team,400+,"light-brown skin tone, short cropped hair, quarterback vision face, lean playmaking-back build",60-yard diagonal ping,stadium night,white/crimson,three-quarter,amber rim-light; camera-flash atmosphere in backdrop,pending,
scg-ft-16,Ebere Glide,First Team,400+,"dark skin tone, short dreads, joyful glide smile, slippery attacking-mid build",glide between two markers,stadium afternoon,teal/charcoal,off-center dynamic,amber rim-light; camera-flash atmosphere in backdrop,pending,
scg-br-1,Gavi Scrapper,Breakthrough,70-240,"fair Spanish skin tone, golden-brown mop hair, scrappy fire in eyes, small combative build",all-in sliding tackle,stadium day,maroon/white,three-quarter,subtle emerald rim-light; faint confetti only on culture-moment cards,pending,
scg-br-2,Endrick Heir,Breakthrough,70-240,"dark Brazilian skin tone, short dark hair, heir-to-throne grin, explosive pocket-striker build",fearless first-time strike,stadium fireworks,white/emerald,three-quarter,subtle emerald rim-light; faint confetti only on culture-moment cards,pending,
scg-br-3,Estevao Samba,Breakthrough,70-240,"brown Brazilian skin tone, short twists, samba smile, electric young winger build",samba stepover burst,stadium afternoon,gold/royal,eye-level full-body,subtle emerald rim-light; faint confetti only on culture-moment cards,pending,
scg-br-4,Desire Dynamo,Breakthrough,70-240,"dark skin tone, short dreads, dynamo grin, bouncy attacking-mid build",final-hero volley moment,stadium night confetti,black/gold,three-quarter,subtle emerald rim-light; faint confetti burst (culture-moment card),pending,culture moment: UCL final volley
scg-br-5,Joao Pitbull,Breakthrough,70-240,"light-brown Portuguese skin tone, short dark hair, pitbull scowl, stocky ball-winner build",pitbull ball-winning lunge,stadium rain,charcoal/crimson,three-quarter,subtle emerald rim-light; faint confetti only on culture-moment cards,pending,
scg-br-6,Martin Anchor,Breakthrough,70-240,"fair Basque skin tone, short dark hair + neat beard, anchor-calm face, anchor midfield build",metronome base pass,stadium evening,white/royal,three-quarter,subtle emerald rim-light; faint confetti only on culture-moment cards,pending,
scg-br-7,Kobbie Calm,Breakthrough,70-240,"dark skin tone, short cropped hair, ice-calm young face, composed midfield build",calm turn-and-pass under pressure,stadium night,slate/white,eye-level full-body,subtle emerald rim-light; faint confetti only on culture-moment cards,pending,
scg-br-8,Dean Cool,Breakthrough,70-240,"fair Dutch-Spanish skin tone, short blond-brown hair, cool beyond-years face, tall elegant center-back build",cool headed interception,stadium afternoon,white/gold,three-quarter,subtle emerald rim-light; faint confetti only on culture-moment cards,pending,
scg-br-9,Leny Lock,Breakthrough,70-240,"dark skin tone, short cropped hair, locked-in focus face, tall defender build",lockdown standing tackle,stadium night,charcoal/royal,three-quarter,subtle emerald rim-light; faint confetti only on culture-moment cards,pending,
scg-br-10,Arda Jewel,Breakthrough,70-240,"fair Turkish skin tone, dark wavy hair, jewel-bright grin, silky left-foot build",left-foot curler top bin,stadium fireworks,white/crimson,three-quarter,subtle emerald rim-light; faint confetti only on culture-moment cards,pending,
scg-br-11,Nico Lakeside,Breakthrough,70-240,"tan Argentine skin tone, dark floppy hair, lakeside-calm smile, creative attacking-mid build",between-the-lines dagger pass,lakeside stadium dusk,ivory/teal,eye-level full-body,subtle emerald rim-light; faint confetti only on culture-moment cards,pending,
scg-br-12,Rayan Nutmeg,Breakthrough,70-240,"light-brown French-Algerian skin tone, dark curls, nutmeg grin, slippery winger build",nutmeg through the legs,stadium night,royal/silver,three-quarter,subtle emerald rim-light; faint confetti only on culture-moment cards,pending,
scg-br-13,Xavi Spring,Breakthrough,70-240,"light-brown Dutch skin tone, short dark curls, springy smile, bouncy attacking-mid build",spring-loaded first-time pass,stadium afternoon,white/maroon,three-quarter,subtle emerald rim-light; faint confetti only on culture-moment cards,pending,
scg-br-14,Michael Featherfoot,Breakthrough,70-240,"fair skin tone, floppy blond-brown hair, featherlight smile, feather-footed winger build",feather-touch cutback,stadium evening,black/teal,three-quarter,subtle emerald rim-light; faint confetti only on culture-moment cards,pending,
scg-br-15,Bradley Breeze,Breakthrough,70-240,"dark skin tone, short twists, breezy grin, rapid winger build",breeze past the fullback,stadium day,white/violet,eye-level full-body,subtle emerald rim-light; faint confetti only on culture-moment cards,pending,
scg-br-16,Ben Airborne,Breakthrough,70-240,"fair Slovenian skin tone, short blond hair, airborne focus face, towering leaping striker build",airborne towering header,stadium night,crimson/white,three-quarter,subtle emerald rim-light; faint confetti only on culture-moment cards,pending,
scg-ac-1,Viktor Sniper,Academy,12+,"fair Swedish skin tone, blond slicked hair + headband, sniper eyes, muscular striker build",sniper far-corner finish,stadium night,black/gold,eye-level full-body,no VFX; soft cyan key-light tint,pending,
scg-ac-2,Alex Ice,Academy,12+,"fair Swedish skin tone, short blond hair, ice-cold finisher stare, lanky striker build",ice-cold one-on-one slot,stadium frost evening,white/steel,three-quarter,no VFX; soft cyan key-light tint,pending,
scg-ac-3,Hugo Slalom,Academy,12+,"brown French skin tone, short dark hair, slalom grin, eel-like forward build",slalom dribble goal,stadium afternoon,royal/white,three-quarter,no VFX; soft cyan key-light tint,pending,
scg-ac-4,Nick Headliner,Academy,12+,"fair German skin tone, short dark-blond hair, gentle giant grin, giant striker frame",headliner towering header,stadium night,black/crimson,eye-level full-body,no VFX; soft cyan key-light tint,pending,
scg-ac-5,Liam Longthrow,Academy,12+,"fair English skin tone, short brown hair, scrappy grin, hard-running striker build",longthrow flip celebration,stadium day,white/royal,eye-level full-body,no VFX; soft cyan key-light tint; faint confetti allowed for this culture-moment card,pending,cult nod: Delap throw-in legacy
scg-ac-6,JP Seagull,Academy,12+,"brown Brazilian skin tone, short dark hair, seagull-bright smile, sharp forward build",poacher sharp finish,seaside stadium day,white/teal,three-quarter,no VFX; soft cyan key-light tint,pending,
scg-ac-7,Omar Falcon,Academy,12+,"tan Egyptian skin tone, short dark hair, falcon focus eyes, direct winger build",falcon dive at far post,stadium afternoon,sand/black,three-quarter,no VFX; soft cyan key-light tint,pending,
scg-ac-8,Abdu Fortress,Academy,12+,"brown Uzbek skin tone, short dark hair, fortress scowl, powerful center-back build",fortress dominant header clear,stadium night,charcoal/teal,eye-level full-body,no VFX; soft cyan key-light tint,pending,
scg-ac-9,Tijjani Thoroughbred,Academy,12+,"dark skin tone, short dreads, thoroughbred calm face, all-action midfield build",box-to-box gallop,stadium evening,maroon/white,eye-level full-body,no VFX; soft cyan key-light tint,pending,
scg-ac-10,Bryan Buzz,Academy,12+,"brown Cameroonian skin tone, short hair + beard, buzzing grin, stocky forward build",buzz cutback finish,stadium day,black/amber,three-quarter,no VFX; soft cyan key-light tint,pending,
scg-ac-11,Matheus Wolf,Academy,12+,"tan Brazilian skin tone, shaggy dark hair, wolfish grin, chaotic forward build",wolf-pack counter finish,stadium night,charcoal/gold,three-quarter,no VFX; soft cyan key-light tint,pending,
scg-ac-12,Ale Acrobat,Academy,12+,"light-brown Argentine skin tone, floppy dark hair, showman grin, acrobatic winger build",bicycle-kick acrobat moment,stadium fireworks,white/crimson,eye-level full-body,no VFX; soft cyan key-light tint; faint confetti allowed for this culture-moment card,pending,culture moment: Garnacho overhead kick
scg-ac-13,Jack Treble,Academy,12+,"fair English skin tone, slicked blond-brown hair + headband, maverick grin, strong-calves winger build",treble-winner jig celebration,stadium confetti,violet/white,eye-level full-body,no VFX; soft cyan key-light tint,pending,
scg-ac-14,Jeremy Whirl,Academy,12+,"dark Belgian skin tone, short dreads, whirlwind smile, spinning dribbler build",whirlwind spin dribble,stadium night,black/teal,three-quarter,no VFX; soft cyan key-light tint,pending,
scg-ac-15,Sav Streetballer,Academy,12+,"brown Brazilian skin tone, short dark hair, streetballer grin, wiry winger build",street-football rainbow flick,street-court dusk,gold/charcoal,three-quarter,no VFX; soft cyan key-light tint,pending,
scg-ac-16,Gigio Giant,Academy,12+,"light-brown Italian skin tone, short dark hair + light beard, giant calm face, giant keeper frame",giant penalty-save moment,stadium night drama,black/emerald,eye-level full-body,no VFX; soft cyan key-light tint; faint confetti allowed for this culture-moment card,pending,culture moment: penalty shootout hero
scg-ac-17,David Radar,Academy,12+,"light-brown Spanish skin tone, short dark hair + beard, radar-calm face, sweeper-keeper build",radar long-ball assist launch,stadium afternoon,white/maroon,eye-level full-body,no VFX; soft cyan key-light tint,pending,
scg-ac-18,Marc Shield,Academy,12+,"fair German skin tone, short blond hair, shield-steady face, big keeper build",shield reflex block,stadium evening,charcoal/royal,three-quarter,no VFX; soft cyan key-light tint,pending,
scg-ac-19,Eddie Quarterback,Academy,12+,"brown Brazilian skin tone, buzzed hair + beard, quarterback grin, stocky keeper build",quarterback 70-yard launch,stadium day,black/yellow,three-quarter,no VFX; soft cyan key-light tint,pending,
scg-ac-20,Lucho Salsa,Academy,12+,"brown Colombian skin tone, short dark hair + headband, salsa smile, explosive winger build",salsa dance celebration,stadium night,crimson/white,eye-level full-body,no VFX; soft cyan key-light tint,pending,
scg-su-1,Max Schoolboy,Sunday League,base,"fair English skin tone, schoolboy blond hair, fearless kid grin, slight teen build",record-breaking youngest debut moment,stadium night wonder,white/crimson,eye-level full-body,no VFX; cool white documentary key light; plain daylight backdrop; faint confetti allowed for this culture-moment card,pending,culture moment: 15yo record debut
scg-su-2,Ethan Hale,Sunday League,base,"fair mixed-heritage skin tone, short dark hair, academy-kid grin, nimble teen build",hale-end curler,stadium afternoon,white/royal,eye-level full-body,no VFX; cool white documentary key light; plain daylight backdrop,pending,
scg-su-3,Rio Kop-Kid,Sunday League,base,"dark skin tone, short twists, kop-kid grin, electric teen winger build",kop-end first goal moment,stadium night roar,crimson/charcoal,three-quarter,no VFX; cool white documentary key light; plain daylight backdrop,pending,
scg-su-4,Franco Riverside,Sunday League,base,"light-brown Argentine skin tone, dark floppy hair, river-kid smile, silky playmaker build",riverside no-look pass,monumental-style stadium,white/maroon,eye-level full-body,no VFX; cool white documentary key light; plain daylight backdrop,pending,
scg-su-5,Claudio Diablito,Sunday League,base,"light-brown Argentine skin tone, dark hair, little-devil grin, small tricky winger build",diablito nutmeg dribble,stadium evening,crimson/silver,eye-level full-body,no VFX; cool white documentary key light; plain daylight backdrop,pending,
scg-su-6,Kendry Andino,Sunday League,base,"brown Ecuadorian skin tone, short dark hair, andean kid smile, creative teen build",andino curler,stadium day,yellow/charcoal,eye-level full-body,no VFX; cool white documentary key light; plain daylight backdrop,pending,
scg-su-7,Archie Apprentice,Sunday League,base,"fair English skin tone, blond schoolboy hair, apprentice focus face, lean teen build",apprentice overlapping run,stadium afternoon,white/slate,three-quarter,no VFX; cool white documentary key light; plain daylight backdrop,pending,
scg-su-8,Lucas Iceberg,Sunday League,base,"fair Swedish skin tone, blond hair, iceberg-calm face, elegant teen midfield build",iceberg cool finish,stadium frost,white/navy,eye-level full-body,no VFX; cool white documentary key light; plain daylight backdrop,pending,
scg-su-9,Warren Prodigy,Sunday League,base,"dark French skin tone, short cropped hair, prodigy composure face, all-round teen build",prodigy two-touch masterclass,stadium night,royal/white,eye-level full-body,no VFX; cool white documentary key light; plain daylight backdrop,pending,
scg-su-10,Ayyoub Lille-Light,Sunday League,base,"light-brown French-Moroccan skin tone, dark curls, bright kid smile, nimble teen build",lille-light quick feet,stadium evening,crimson/white,eye-level full-body,no VFX; cool white documentary key light; plain daylight backdrop,pending,
scg-su-11,Rodrigo Dragonkid,Sunday League,base,"light-brown Portuguese skin tone, dark floppy hair, dragon-kid grin, small forward build",dragonkid poacher finish,stadium night,royal/white,three-quarter,no VFX; cool white documentary key light; plain daylight backdrop,pending,
scg-su-12,Camarda Kid,Sunday League,base,"fair Italian skin tone, dark hair, kid-striker grin, lean teen striker build",first senior goal moment,stadium afternoon,black/crimson,eye-level full-body,no VFX; cool white documentary key light; plain daylight backdrop,pending,
scg-su-13,Samu Matador,Sunday League,base,"dark skin tone, short cropped hair, matador stare, powerful young striker build",matador charging header,stadium day,maroon/white,eye-level full-body,no VFX; cool white documentary key light; plain daylight backdrop,pending,
scg-su-14,Quenda Comet,Sunday League,base,"dark skin tone, short twists, comet smile, blazing teen winger build",comet first-step burst,stadium evening,white/emerald,eye-level full-body,no VFX; cool white documentary key light; plain daylight backdrop,pending,
scg-su-15,Chido Obi-Wan,Sunday League,base,"dark skin tone, short hair, young jedi grin, lanky teen striker build",obi-wan finish moment,stadium night,white/royal,three-quarter,no VFX; cool white documentary key light; plain daylight backdrop,pending,
scg-su-16,Crouchy Robot,Sunday League,base,"fair English skin tone, short blond-brown hair, gentle-giant grin, giant beanpole frame",the robot dance celebration,stadium party night,white/crimson,eye-level full-body,no VFX; cool white documentary key light; plain daylight backdrop; faint confetti allowed for this culture-moment card,pending,cult moment: the robot
scg-su-17,Lord Bendtner,Sunday League,base,"fair Danish skin tone, 2000s blond curtains hair, supreme self-confidence smirk, lanky striker build",lordly casual finish,stadium afternoon,white/maroon,eye-level full-body,no VFX; cool white documentary key light; plain daylight backdrop; faint confetti allowed for this culture-moment card,pending,cult meme: Lord Bendtner
scg-su-18,Mario Why-Always,Sunday League,base,"dark Italian-Ghanaian skin tone, mohawk, why-always-me shrug face, powerful striker build",why-always-me shirt-flex celebration,stadium fireworks,black/royal,eye-level full-body,no VFX; cool white documentary key light; plain daylight backdrop; faint confetti allowed for this culture-moment card,pending,cult moment: WHY ALWAYS ME
scg-su-19,Chicha Littlepea,Sunday League,base,"light-brown Mexican skin tone, short dark hair, little-pea smile, poacher build",little-pea poacher tap-in,stadium day,white/emerald,three-quarter,no VFX; cool white documentary key light; plain daylight backdrop,pending,
scg-su-20,Park Three-Lungs,Sunday League,base,"light-brown Korean skin tone, short black hair, three-lungs tireless face, all-action build",three-lungs box-to-box run,stadium night,white/crimson,eye-level full-body,no VFX; cool white documentary key light; plain daylight backdrop,pending,
